name,alias,type,id,notes
solaire of astora,solaire,character,39,"wielder of a standard longsword; symbol of honor and reliability.; Knight of Astora; Owner of the Sunlight Shield; self-illustrated it with no divine power (Item ID 1152); Knight famed for worship of the Sun. Painted his armor and demonstrated great strength through training alone.; Warrior of the Sun, seeking his own sun; speaks of Lord Gwyn, Anor Londo, Lost Izalith, and the Tomb of the Gravelord."
dusk of oolacile,dusk,character,40,"A character from the ancient land of Oolacile, offers ancient sorceries and requests aid.; Royalty from the fallen land of Oolacile. Wears the Crown of Dusk and is associated with magic.; Princess of Oolacile. Recipient of the Dusk Crown Ring upon birth. Associated with magic use.; Referenced as a rescued individual and central figure in Elizabeth's dialogues."
black iron tarkus,tarkus,character,41,Known as Black Iron Tarkus; member of the Knights Berenike; famed for resilience and heavy armor.; Renowned knight known for wielding the Black Iron Greatshield. Noted for his resilience and strength.; Knight known for immense strength and heavy black iron armor. Wields the Black Iron Greatshield.; Listed among those who failed to reach Anor Londo.
witch beatrice,beatrice,character,42,Described as a rogue witch associated with a unique catalyst.; Independent magic user who braved the Abyss without Dragon School training. Wears the Witch Set.
maneater mildred,mildred,character,43,
paladin leeroy,leeroy,character,44,Undead paladin of the Way of White. Wields Sanctus and Grant. First to go on Undead mission to Lordran.
knight kirk,kirk,character,45,Also known as the Knight of Thorns; infamous Darkwraith.; Notorious Darkwraith who wears armor covered in thorns. Causes damage by rolling into enemies.
xanthous king jeremiah,jeremiah; legendary exile,character,46,Mysterious figure associated with the Xanthous set. Known for bright yellow garments and exile status.
lautrec the embraced,lautrec,character,47,"Knight devoted to the goddess Fina. Believed in her love and wore the Armor of Favor.; A knight with sinister motives; mentions a reward, humanity, Fire Keeper, and hatred for Trusty Patches. Refers to Maiden Thorolund, indicating he trades in information and has knowledge of the Catacombs."
demon firesage,,character,48,First demon and last master of original fire arts.
stray demon,,character,49,
asylum demon,,character,50,
capra demon,,character,51,Demon served by wild dogs in the Undead Burg.
taurus demon,,character,52,
iron golem,,character,53,"Towering guardian of Sen’s Fortress; forged of metal and wind; repels heroes seeking Anor Londo.; Massive construct and guardian of Sen's Fortress. Without its core, it becomes inert but usable as armor.; Guardian of Sen's Fortress, slayer of heroes."
executioner smough,smough,character,54,Executioner who guards Anor Londo's cathedral; notorious for brutality and cannibalism.; Protector of the cathedral at Anor Londo. Known for wearing extremely heavy armor.; Gleeful executioner who guards the cathedral in Anor Londo.
crossbreed priscilla,priscilla,character,55,"Dragon Crossbreed with a powerful tail weapon; White crossbreed with the lifehunt ability, residing in the Painted World of Ariamis.; Crossbreed trapped in the Painted World of Ariamis; called antithesis to all life."
moonlight butterfly,,character,56,Mystical creature of the Darkroot Garden; linked to the Crystal Ring Shield; Mystical creature that flitters in Darkroot Garden; created by Seath the Scaleless.
sanctuary guardian,,character,57,Beast whose poisonous tail becomes the Guardian Tail weapon.; White winged lion-like beast who dreaded the Abyss and showed traits of Demons.
artorias the abysswalker,artorias,character,58,"Known for his indomitable will. Associated with the Wolf Ring and greatsword combat.; faced the Abyss.; Referred to as 'dear' by Ciaran; Legendary knight buried beyond the crest door.; associated with Greatshield of Artorias (Item ID 1165); One of Gwyn's Four Knights. Known for facing the Abyss. His corrupted gear is marked by the influence of dark magic.; Abysswalker knight; a dear friend to Ciaran.; Bearer of the crest on the Silver Pendant; Saved Dusk from the Abyss long ago. Known for strength and balance, possibly linked to the player.; joined a covenant with creatures of the Abyss to battle its corruption.; strongly implied to have a deep bond with her.; One of Gwyn’s Four Knights. Formed a covenant with the Abyss beasts. Associated with traversal of the Abyss.; Referred to as a hero who attempted to stop the Abyss.; Knight whose grave is guarded by Sif; Revered knight who fought the Abyss. Died with honor thanks to the player.; called the Abysswalker.; subject of many tales.; One of Gwyn’s Four Knights. Mentioned as a friend of Alvina in the Cat Covenant Ring description.; A legendary knight who traversed the Abyss; Referred to as someone who would disapprove of presumptuous behavior; Knight of Lord Gwyn who was consumed by the Abyss. His honor was preserved by an unsung hero.; A legendary warrior whose grave lies in Darkroot Garden, associated with the Abyss."
"manus, father of the abyss",manus,character,59,"A powerful being whose sorcery Pursuers grants will to the dark; driven by emotional madness, envy, or love.; Once human, became Father of the Abyss after humanity went wild.; The source of the Abyss' Dark; must be faced to stop the corruption spreading across the land."
black dragon kalameet,kalameet,character,60,"Ancient black dragon mentioned in the Obsidian Greatsword item. Tail is the source of the weapon.; Ancient black dragon. His orange eye enchanted the Calamity Ring, doubling damage taken.; A powerful black dragon defeated by the player, referenced by Gough.; A ferocious black dragon, feared even by Anor Londo; considered a significant threat."
centipede demon,,character,61,
great grey wolf sif,sif,character,62,"wielder of a cursed sword to strike ghosts.; Great grey wolf; soul used to create Greatshield of Artorias (Item ID 1165); guardian of Artorias’s grave; Guardian of the grave of Knight Artorias; Companion of Artorias. Protected by the Cleansing Greatshield during Artorias's descent into the Abyss.; A legendary wolf, close to Knight Artorias and Alvina."
gravelord nito,nito,character,63,"Wields the power of miasma and death; his servants craft weapons from bone.; Linked to death and the Tomb of the Giants; First of the dead. Target of occult followers who attempted to steal divine power.; Known as the First Dead, he slumbers in the Tomb of Giants and commands servants to spread death through rituals like Gravelord Sword Dance.; First of the dead; administers death to all beings. Holder of a Lord Soul.; One of the first to find a Lord Soul; lord of death and disease.; One of the four beings whose soul is needed to fill the Lordvessel."
ceaseless discharge,molten giant,character,64,"A dark being that attacked Dusk in the past, associated with the Abyss and requiring Artorias’s aid."
gaping dragon,,character,65,Grotesque descendant of ancient dragons; its tail forms a mystical greataxe.; Beast who swallowed the Blighttown Key.
dragonslayer ornstein,ornstein,character,66,"guards the cathedral of Anor Londo.; Dragonslayer and member of Gwyn’s Four Knights; Captain of the Four Knights of Gwyn. Guardian of the cathedral in Anor Londo, clad in lightning-infused lion armor.; One of Gwyn’s Four Knights. Master of lightning spear and wielder of the Leo Ring.; One of Lord Gwyn’s four knights; guards the cathedral in Anor Londo."
chaos witch quelaag,quelaag,character,67,her weapon is infused with fire and responds to humanity.; Chaos-born demon; Sister to the Fair Lady; she fled Izalith with her. Referenced with authority by Eingyi.
seath the scaleless,seath,character,68,"The Scaleless dragon; betrayer of his kind; founder of sorcery and source of moonlight magic.; creator of the Moonlight Butterfly and master of sorcery.; Subject of Logan’s obsession; linked to crystal sorcery.; Blind dragon and master of the Channelers. Fell into madness and pursued experiments on humans.; An ancient dragon whose power influenced Logan's sorcery. Referenced in the White Dragon Breath spell.; Creator of the Moonlight Butterfly.; Creator of the Crystal Ember.; Creator of the Archive Tower’s prison and its abominable 'mistakes'.; Albino dragon who betrayed his kind and was granted Dukedom and a Soul fragment by Gwyn.; A dragon who betrayed his kin and aided the Lords in defeating the Everlasting Dragons.; Former confidant of Lord Gwyn, one of the powerful beings whose soul is required to fill the Lordvessel.; A dragon who betrayed his kind, gained immortality via the Primordial Crystal. Described as a beautiful but obsessive scholar."
dark sun gwyndolin,gwyndolin,character,69,"Youngest child of Lord Gwyn. Grants the miracle Darkmoon Blade to those who swear loyalty to him. Associated with vengeance and the covenant of the Darkmoon.; Youngest child of Gwyn. Deity of the Darkmoon and last remaining god in Anor Londo.; Deity of the Darkmoon; Lastborn of Lord Gwyn. Associated with the Moonlight Arrows and leads a covenant.; creator of the Darkmoon Bow and Tin Darkmoon Catalyst; God served by the Blades of the Darkmoon.; lastborn of Gwyn.; Deity residing in Anor Londo's Spiral Depths. Leads the Blades of the Darkmoon.; Protector of Anor Londo, possesses moon-based magic, and wears the Moonlight Set.; God of the Dark Sun and guardian of deserted Anor Londo; Named reverently by the Darkmoon. Likely a superior or revered deity associated with Anor Londo."
bell gargoyle,bell gargoyles,character,70,Winged guardian creatures; often protect Bells of Awakening or patrol sacred cities.; Winged guardian beast; defends sacred sites like the Undead Church.; Enchanted guardian creature of the Bell of Awakening in the Undead Church. Known for hard skin and bronze gear.
"gwyn, lord of cinder",gwyn,character,71,"Lord of Cinder who linked the First Flame and divided his power among his kin.; Father of Gwynevere, wielder of the flame.; One of the original Lords who linked the First Flame. Opposed the rise of the Dark and humanity, sacrificing himself to prolong the Age of Fire.; Associated with Gwyndolin and the Four Knights.; Deity who once linked the Fire. Frampt believes the Chosen Undead must succeed him by linking the Fire again.; Referenced indirectly as a legendary lord. The Soul Spear is said to rival his lightning power.; a powerful figure in the game's lore.; Linked the First Flame, bequeathed power to the gods, and burned as Cinder.; sacrificed himself to prolong the Age of Fire.; Gough offers his blessing, implying Gwyn’s symbolic or divine status even after his fall.; his soul forges a lightning-blessed sword.; One of the original Lords; used lightning to defeat dragons; Referenced by Siegmeyer in relation to fate and gratitude; Lord of Cinder who linked the flame; Revered as the Lord of Sunlight and associated with the land Solaire explores."
four kings,,character,72,creators of the Darkwraiths.; Rulers of New Londo who fell to Dark.; Rulers of New Londo who succumbed to darkness; Great leaders of New Londo who were granted fragments of a Lord Soul by Gwyn.; Powerful figures who descended into the Dark. Sealed away with the Darkwraiths in New Londo.; Beings who inherited shards of Gwyn’s soul. Their soul is needed to satiate the Lordvessel.
bed of chaos,,character,73,"Distorted being of chaos and fire, source of all demons."
gravelord servant,,character,74,
dagger,,dagger,75,Standard small dagger with modest attack. Effective for rapid strikes and critical hits such as parrying and backstabs. Offers both slash and thrust attacks.
parrying dagger,,dagger,76,"Dagger specialized for parrying, typically used in the left hand. Favored by Carim knights who fight without shields."
ghost blade,,dagger,77,Wielded by the ghosts of New Londo. Cursed weapon capable of harming ghosts.
bandit's knife,,dagger,78,Shortsword favored by thieves and bandits. Excels in slicing and critical hits after parrying or backstabbing.
priscilla's dagger,,dagger,79,Rare dragon weapon from Priscilla's tail. Possesses lifehunt power and resembles the fighting style of painting guardians.
shortsword,,straight sword,80,"Small, widely-used straight sword. Balanced damage and thrusting capability."
longsword,,straight sword,81,Ubiquitous straight sword with balanced slash damage and dependable performance.
broadsword,,straight sword,82,Wide blade for slicing. Lacks thrust attack. Effective sweeping motion against groups.
broken straight sword,,straight sword,83,Damaged sword with half the blade missing. Weak and used only by the completely Hollowed.
balder side sword,,straight sword,84,"Long sword of Balder knights, good for thrust attacks. Balder was destroyed by the Undead."
crystal straight sword,,straight sword,85,Crystallized sword with high attack and poor durability. Cannot be repaired.
sunlight straight sword,,straight sword,86,"Solaire of Astora’s sword. Well-forged and dependable, though not as grand as its name."
barbed straight sword,,straight sword,87,"Used by Darkwraith Kirk, this thrust-only sword causes severe bleeding."
silv. knight str. sword,,straight sword,88,Weapon of Anor Londo's silver knights. Strong chain attacks using body momentum.
astora's straight sword,,straight sword,89,Blessed sword of a high-ranking knight of Astora. High quality.
darksword,,straight sword,90,Used by Darkwraiths who served the Four Kings. Wide and unusually wielded.
drake sword,,straight sword,91,Dragon weapon from a drake's tail. Mystical power activated with two hands.
straight sword hilt,,straight sword,92,"Discarded hilt from Undead Asylum. Weak weapon, better replaced quickly."
bastard sword,,greatsword,93,Heavy greatsword swung with two hands. Wide arcs good against multiple enemies.
claymore,,greatsword,94,Flexible greatsword with swing and thrust attacks. Typically used two-handed.
man-serpent greatsword,,greatsword,95,"Heavy, blood-stained sword used by Sen’s Fortress serpent men. Difficult for humans to wield."
flamberge,,greatsword,96,Serpent men's weapon with flaying design. Causes heavy bleeding.
crystal greatsword,,greatsword,97,Crystallized greatsword with high power and poor durability. Cannot be repaired.
stone greatsword,,greatsword,98,Used by stone knights of Darkroot Garden. Magic-imbued and powerful when two-handed.
greatsword of artorias,,greatsword,99,"Forged from Sif’s soul. Used by Abysswalker Artorias. Strong against dark enemies.; Cursed sword forged from Sif’s soul. Can damage ghosts, tied to Artorias’s covenant with Abyss creatures."
great lord greatsword,,greatsword,100,"Greatsword born from the soul of Gwyn, Lord of Cinder. Wielded sun bolts before linking the fire, and divided his power among his children."
moonlight greatsword,,greatsword,101,"Rare dragon weapon from Seath the Scaleless’s tail. Imbued with his magic, unleashing waves of moonlight."
black knight sword,,greatsword,102,"Greatsword used by black knights to fight chaos demons. Suited for large, heavy strikes."
greatsword of artorias,,greatsword,103,"Cursed sword forged from Sif's soul. Can damage ghosts, tied to Artorias's covenant with Abyss "
zweihander,,greatsword,104,Gigantic straight sword held with two hands. Great weight sends foes flying.
greatsword,,greatsword,105,Heavy weapon favored by Knights Berenike and Tarkus. Requires extreme strength.
demon great machete,,greatsword,106,"Used by Capra demons. Cast iron, heavy, and brutal. Lacks magical properties."
dragon greatsword,,greatsword,107,Dragon weapon from the Stone Dragon’s tail. Unleashes great mystical power with both hands.
black knight greatsword,,greatsword,108,"Same as Black Knight Sword. Used against chaos demons, emphasizing heavy swings."
scimitar,,curved sword,109,Small curved sword with fluid chain attacks. Effective against unarmored foes.
falchion,,curved sword,110,"Similar to scimitar. Focuses on fluid, slashing attacks."
shotel,,curved sword,111,Curved blade made by Arstor of Carim. Ignores shield defenses.
jagged ghost blade,,curved sword,112,"Used by New Londo ghosts. Cursed weapon, good for fighting ghosts."
painting guardian sword,,curved sword,113,Used by painting guardians of Anor Londo. Spinning dance-like technique.
quelaag's furysword,,curved sword,114,"Chaos weapon from Quelaag’s soul. Deals fire damage, scales with humanity."
server,,curved greatsword,115,Restores HP per hit. Holds occult energy from ancient rite.
murakumo,,curved greatsword,116,"Eastern sword requiring high strength and dexterity. Cuts like katana, heavier than machete."
gravelord sword,,curved greatsword,117,"Weapon of Gravelord Nito’s servants. Made from bones, spreads death miasma."
uchigatana,,katana,118,Eastern katana causing bleeding. Fragile blade.
washing pole,,katana,119,Extremely long Eastern katana. High reach but prone to breaking.
iaito,,katana,120,"Uses Iaijutsu for swift, sheathed draw attacks."
chaos blade,,katana,121,Born from Quelaag’s soul. Deals damage to wielder and foes.
mail breaker,,thrusting sword,122,Small thrusting weapon for piercing armor. Good for critical hits.
rapier,,thrusting sword,123,One-handed thrusting sword. Allows parry and piercing attacks.
estoc,,thrusting sword,124,Largest thrusting sword. Pierces armor with strong thrusts. Can also slash.
velka's rapier,,rapier,125,A symbolic thrusting sword wielded by Velka's pardoner. Enchanted and used with advanced technique.
ricard's rapier,,rapier,126,"Weapon of Undead Prince Ricard, a royal turned wanderer who vanished in the North."
hand axe,,axe,127,Standard hand axe effective in close combat; requires careful swing timing.
battle axe,,axe,128,Standard axe with powerful attacks; timing is key.
crescent axe,,axe,129,Blessed axe used by clerics of the Way of White.
butcher knife,,axe,130,Tool-weapon used by Depths' cannibal; instills fear.
golem axe,,axe,131,Iron Golem soul weapon imitating wind blade; heavy and hard to wield.
gargoyle tail axe,,axe,132,Tail weapon of gargoyles guarding Bell of Awakening.
greataxe,,greataxe,133,Massive iron axe requiring great strength; vulnerable on misses.
demon's greataxe,,greataxe,134,Bone axe used by Taurus demons; sheer brute force.
dragon king greataxe,,greataxe,135,Tail of Gaping Dragon; imbued with mystical power.
black knight greataxe,,greataxe,136,Chaos-fighting axe of the Black Knights.
club,,hammer,137,Basic strike weapon effective against shields.
mace,,hammer,138,Cleric weapon that breaks guards; simple and blunt.
morning star,,hammer,139,Barbaric cleric hammer causing bleed with thrusts.
warpick,,hammer,140,"Pickaxe weapon dealing thrust damage, effective vs. armor."
pickaxe,,hammer,141,Mining tool capable of crushing stone and foes.
reinforced club,,hammer,142,Enhanced club with leather nails; unstable but strong.
blacksmith hammer,,hammer,143,Andre's smithing hammer; usable as weapon.
blacksmith giant hammer,,hammer,144,Wooden hammer of Anor Londo's giant blacksmith.
hammer of vamos,,hammer,145,Weapon of skeletal blacksmith Vamos.
great club,,great hammer,146,Tree branch club with powerful smash attacks.
grant,,great hammer,147,"Legendary weapon wielded by Paladin Leeroy, mentioned alongside Sanctus.; Blessed Way of White hammer effective against Dark."
demon's great hammer,,great hammer,148,Used by Asylum demons; no magic but pure power.
dragon tooth,,great hammer,149,Mentioned alongside Havel's Greatshield as a divine heirloom (Item ID 1163); Indestructible weapon of Havel the Rock; grants resistances.
large club,,great hammer,150,"Large wooden club. The giant Undead of Blighttown wield these clubs, which became poisonous from the influence of their surroundings."
smough's hammer,,great hammer,151,"Great hammer from the soul of executioner Smough, who guards the cathedral in Anor Londo. Smough ground the bones of his victims into his feed."
caestus,,fist weapon,152,Augments bare hands with studded leather. Short reach but fast. Damage depends on strength.
claw,,fist weapon,153,Formed by three sharp claws. Causes bleeding. Used by Eastern spooks.
dragon bone fist,,fist weapon,154,Created from the soul of the Iron Golem and dragon bones. A powerful melee weapon.
dark hand,,fist weapon,155,Used by Darkwraiths. Absorbs humanity. Also acts as a special shield.
spear,,spear,156,"Standard spear. Long reach, used with shield. Effective against hard exteriors."
winged spear,,spear,157,Barbed spear. Long reach. Good timing yields high damage.
partizan,,spear,158,Blade with broad point. Adaptable. Slices ricochet in cramped spaces.
demon's spear,,spear,159,Carved from Batwing demon bones. Imbued with lightning.
channeler's trident,,spear,160,Used by Six-eyed Channelers. Dance-like martial arts buff allies.
silver knight spear,,spear,161,Used by Silver Knights of Anor Londo. Has both thrust and sweep attacks.
pike,,spear,162,Very long red-hilted spear. Longest range but hard to handle.
dragonslayer spear,,spear,163,From soul of Ornstein. Inflicts lightning damage. Effective vs dragons.
moonlight butterfly horn,,spear,164,Born from Moonlight Butterfly. Imbued with pure magic.
halberd,,halberd,165,Spearlike and sweeping attacks. Requires both strength and dexterity.
giant's halberd,,halberd,166,Used by Anor Londo sentinels. Brass halberd imbued with lightning.
titanite catch pole,,halberd,167,Weapon of titanite demon. Enchanted. Leaping attack.
gargoyle's halberd,,halberd,168,Standard bronze halberd. Used by church gargoyle.
black knight halberd,,halberd,169,Used by Black Knights. Powerful swinging attack.
lucerne,,halberd,170,Halberd with beak-like protrusion. Inflicts thrust damage.
scythe,,halberd,171,"Halberd adjusted for slicing. Large blade, leaves user open on miss."
great scythe,,halberd,172,Converted from farming tool. Sharp curved blade instills fear.
lifehunt scythe,,halberd,173,Born from Priscilla's soul. Causes bleeding and harms the wielder.
short bow,,bow,174,Standard small bow. Can aim and change arrow types.
longbow,,bow,175,Large projectile bow for experienced hunters. Standard use with arrows.
black bow of pharis,,bow,176,Long-range bow used by heroic archer Pharis. Harder to use effectively.
dragonslayer greatbow,,bow,177,Massive bow designed exclusively for use with Dragonslayer Arrows.; Massive bow used by Dragonslayers led by Hawkeye Gough. Requires great arrows.
composite bow,,bow,178,"High power short-range bow. Needs strength, not good for sniping."
darkmoon bow,,bow,179,Magical bow from Gwyndolin's soul. Strongest with Moonlight Arrows.
light crossbow,,crossbow,180,Standard soldier crossbow. One-handed. Requires manual reloading.
heavy crossbow,,crossbow,181,"Large, powerful crossbow. Requires manual bolt loading."
avelyn,,crossbow,182,Repeating crossbow by craftsman Eidas. Fires triple bolts. Lower damage per shot.
sniper crossbow,,crossbow,183,Long-range crossbow used by Carim snipers. Requires dexterity.
sorcerer's catalyst,,catalyst,184,Vinheim Dragon School catalyst for casting sorceries.
beatrice's catalyst,,catalyst,185,Ancient catalyst used by rogue witch Beatrice. Linked to old sorceries.
tin banishment catalyst,,catalyst,186,Metal catalyst used by New Londo banishment sorcerers. Deals physical damage.
logan's catalyst,,catalyst,187,"Catalyst of Big Hat Logan. Strengthened by his use, extremely powerful."
tin darkmoon catalyst,,catalyst,188,Catalyst of Gwyndolin. Uses faith for power rather than intelligence.
oolacile ivory catalyst,,catalyst,189,"Catalyst from Oolacile. Boosts sorcery adjustment, not affected by intelligence."
tin crystallization ctlyst.,,catalyst,190,"Crystal magic catalyst used by Logan. Halves sorcery uses, very powerful."
demon's catalyst,,catalyst,191,Molten catalyst from Izalith. Also serves as a fire weapon.
izalith catalyst,,catalyst,192,Ancient catalyst from the Witch of Izalith. Used before pyromancy.
pyromancy flame,,pyromancy,193,Flame catalyst used by Great Swamp pyromancers. Produces fire arts.; Flame linked to Quelana of Izalith. Flame sharing creates eternal bonds.
pyromancy flame,,pyromancy,194,Flame linked to Quelana of Izalith. Flame sharing creates eternal bonds.
talisman,,talisman,195,Standard miracle casting medium. Issued to believers.
canvas talisman,,talisman,196,Miracle casting talisman for clerics on pilgrimage.
thorolund talisman,,talisman,197,High-ranking Thorolund cleric talisman. Divine protection boosts adjustment.
ivory talisman,,talisman,198,Miracle casting item for female clerics. Faith affects value.
sunlight talisman,,talisman,199,Solaire of Astora's miracle talisman. Symbol of unwavering faith.
darkmoon talisman,,talisman,200,Granted to Darkmoon Blade knights. Requires high faith. High miracle adjustment.
velka's talisman,,talisman,201,"Belongs to Velka, Goddess of Sin. Uses intelligence instead of faith."
skull lantern,,strike,202,Used by Catacombs necromancers. Emits light in Tomb of the Giants. Fire damage.
east-west shield,,shield,203,"Wooden shield with double-headed eagle. Light, lower physical reduction."
wooden shield,,shield,204,"Elongated wooden shield with white dragon. Light, low stability."
large leather shield,,shield,205,Leather-covered round shield. Choice of hunters.
small leather shield,,shield,206,Small round shield with metal reinforcements. Parry oriented.
target shield,,shield,207,Metal shield with parry-focused design.
buckler,,shield,208,Very small shield with central parry protrusion.
cracked round shield,,shield,209,Cracked wooden shield. Very low stability.
leather shield,,shield,210,Standard leather round shield. Common.
plank shield,,shield,211,Makeshift wooden shield. Minimal protection.
caduceus round shield,,shield,212,Wooden shield with blue Caduceus. Reduces magic damage.
crystal ring shield,,shield,213,Moonlight Butterfly item. Emits crystal light rings.
heater shield,,shield,214,Small metal shield. 100% physical block.
knight shield,,shield,215,Elegant metal shield. Typical knight gear.
tower kite shield,,shield,216,Medium metal shield with tower symbol.
grass crest shield,,shield,217,Speeds stamina recovery. Enchanted origin.
hollow soldier shield,,shield,218,Rusted but sturdy metal shield.
balder shield,,shield,219,From Balder knights. Good stability.
crest shield,,shield,220,Blue enchanted shield. Reduces magic damage.
dragon crest shield,,shield,221,Blue enchanted shield. Reduces fire damage.
warrior's round shield,,shield,222,Decorated with Labrys. Magic resistance.
iron round shield,,shield,223,Used by Shiva of the East. Heavy.
spider shield,,shield,224,From mountain bandits. Poison resistance.
spiked shield,,shield,225,Kirk's shield. Can be used as weapon. Bleed effect.
crystal shield,,shield,226,"Crystallized shield. Brittle, irreparable."
sunlight shield,,shield,227,Solaire's shield. No divine power.
silver knight shield,,shield,228,Used by Silver Knights. Blessed.
black knight shield,,shield,229,Used by Black Knights. Fire resistance.
pierce shield,,shield,230,"Shield of certain knights of Catarina, used in attacks with a large protrusion in center. Can be used as a thrust weapon."
red and white round shield,,shield,231,"Round wooden shield crafted in Lordran featuring an impressive red and white design. The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood greatly reduces magic damage."
caduceus kite shield,,shield,232,"Medium metal shield. Decorated by an ancient blue Caduceus. A standard, widely-used shield."
gargoyle's shield,,shield,233,"Bronze shield of the gargoyle guarding the Bell of Awakening in the Undead Church. The gargoyle's skin is tough by itself, and perhaps its shield may have been a prop, for it is a rare example of a metal shield that does not reduce physical damage 100%."
