id,Nome,Description
1024,Greatsword of Artorias,"Sword born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias. Sir Artorias hunted the Darkwraiths, and his sword strikes harder against dark servants."
1025,Great Lord Greatsword,"Greatsword born from the soul of Gwyn, Lord of Cinder. As bearer of the ultimate soul, Gwyn wielded the bolts of the sun, but before linking the fire, divided that power amongst his children, and set off with only this greatsword as his companion."
1026,Moonlight Greatsword,"This sword, one of the rare dragon weapons, came from the tail of Seath the Scaleless, the pale white dragon who betrayed his own. Seath is the grandfather of sorcery, and this sword is imbued with his magic, which shall be unleashed as a wave of moonlight."
1027,Black Knight Sword,Greatsword of the black knights who wander Lordran. Used to face chaos demons. The large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago.
1028,Greatsword of Artorias,"Sword born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias. The sword can damage ghosts, as it was cursed when Artorias joined a covenant with the creatures of the Abyss."
1029,Zweihander,"One of the gigantic straight greatswords. As the name suggests, the Zweihander is held with two hands, but its wielder must still be inhumanly strong. It is this great weight that sends foes flying when hit solidly."
1030,Greatsword,"One of the gigantic straight greatswords. Very few have what it takes to wield this incredibly heavy, damage-dealing monster. A favorite of the Knights Berenike, known for their heavy armor, and Black Iron Tarkus."
1031,Demon Great Machete,"The lesser Capra demons use these greatswords in pairs. The blade is cast iron and hooked. The sword is imbued with no particular magic, but for those who have the strength, its great weight will smash foes mercilessly."
1032,Dragon Greatsword,"This sword, one of the rare dragon weapons, came from the tail of the stone dragon of Ash Lake, descendant of the ancient dragons. Its great mystical power will be unleashed when wielded with two hands."
1033,Black Knight Greatsword,Greatsword of the black knights who wander Lordran. Used to face chaos demons. The large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago.
1034,Scimitar,"Small curved sword. Each hit inflicts little damage, but fluid chain attacks are deadly. The scimitar's sharp slashing attacks are effective against cloth and flesh, but not against metal armor or tough scales."
1035,Falchion,"Small curved sword. Each hit inflicts little damage, but fluid chain attacks are deadly. The falchion's sharp slashing attacks are effective against cloth and flesh, but not against metal armor or tough scales."
1036,Shotel,"Curved sword with sharply curved blade. Created by Arstor, Earl of Carim. Requires great skill to wield, but evades shield defense to sneak in damage."
1037,Jagged Ghost Blade,Jagged blade wielded by New Londo ghosts. Violent thrust attack. One of the cursed weapons. Inflicts damage to ghosts.
1038,Painting Guardian Sword,"Curved sword of Anor Londo painting guards. Unique shape with flat tip. The guardians, who strike down those who dare threaten the paintings, attack in a continuous, circular dancing motion, a technique passed down through generations."
1039,Quelaag's Furysword,"A curved sword born from the soul of Quelaag, daughter of the Witch of Izalith, who was transformed into a chaos demon. Like Quelaag's body, the sword features shells, spikes, and a coating of chaos fire. Power affected by wielder's humanity."
1040,Server,A curved greatsword used in a mysterious ancient rite. Imbued with a frightful occult energy which restores HP with each hit.
1041,Murakumo,"Giant curved sword forged using special methods in an Eastern land. This unparalleled weapon cuts like a Katana but is heavier than a Nata machete. Requires extreme strength, dexterity, and stamina to wield."
1042,Gravelord Sword,"Sword wielded only by servants of Gravelord Nito, the first of the dead. Crafted from the bones of the fallen. The miasma of death exudes from the sword, a veritable toxin to any living being."
1043,Uchigatana,"Katana forged in an Eastern land. Known for its brisk slashing motions. The Uchigatana cuts beautifully and causes bleeding, but its blade is easily nicked."
1044,Washing Pole,"Katana forged in an Eastern land. Very unusual specimen with a long blade. The blade is extremely long, but as a result, quite easily broken."
1045,Iaito,"Katana forged in an Eastern land. The Katana is drawn from the scabbard at lightning speed, using an Iaijutsu technique. Iaijutsu allows the wielder to charge forward to swiftly cut down distant foes."
1046,Chaos Blade,"A curved sword born from the soul of Quelaag, daughter of the Witch of Izalith, who was transformed into a chaos demon. This blade inherits only the chaotic nature of Quelaag, and has a unique speckled design. Blade wielder erodes along with opponents."
1047,Mail Breaker,"Standard small thrusting sword. Unsharpened but pointed solid shaft can pierce tough armor. Can be thrust using the weight of one's body, and is very effective for critical attacks."
1048,Rapier,"Standard thrusting sword. Regular one-handed attack can be delivered with shield held up. Can parry with use of left hand. Thrusting attacks pierce and are effective against foes with hard exteriors, but the wielder is left open to damage after a swing."
1049,Estoc,"The largest of the thrusting swords. Can pierce an armored knight in one thrust. The blade is also sharp, allowing slicing as well."
1050,Velka's Rapier,"A symbolic, powerful thrusting sword used by the Pardoner serving Velka, Goddess of Sin. It is no mere symbol to be sure; the Pardoner is an inhuman swordsman, and wields this enchanted blade with special sword technique."
1051,Ricard's Rapier,"A rapier with intricate decorations. Chosen weapon of the infamous Undead Prince Ricard. Ricard's exploits are told in a monomyth. He was born into royalty, but wandered the lands in a fateful ill-conceived journey. He became Undead, and disappeared up North."
1052,Hand Axe,"Small hand axe. Appears identical to a lumberjack's tool, but has an ideal weight and strength, and is easy to handle. One wrong swing leaves the wielder wide open, so timing and proximity to the enemy must be judged carefully."
1053,Battle Axe,"Standard battle axe. Inflicts regular damage, making it effective in various situations. Powerful attack due to its weight, but one wrong swing leaves the wielder wide open, so timing and proximity to the enemy must be judged carefully."
1054,Crescent Axe,Well-used old bronze battle axe with a long hilt and a crescent-shaped blade. One of the blessed weapons of the Way of White. The Crescent Axe is bequeathed to cleric warriors who have proven their faith.
1055,Butcher Knife,Giant butcher knife wielded by the Undead man-eating cook lurking in the Depths. More a tool for subduing and preparing live catches than an actual weapon. Those who have faced this deadly blade have a deeper sense of how helpless prey must feel.
1056,Golem Axe,"An axe born from the soul of the Iron Golem, guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo. Its powerful one-handed attack imitates the golem's blade of wind, but the heavy iron blade makes it quite unwieldy."
1057,Gargoyle Tail Axe,"Sliced tail of the gargoyle guarding the Bell of Awakening in the Undead Church or patrolling in Anor Londo. Can be used as a bronze battle axe. Bends dramatically during large attacks, owing to its nature as a tail."
1058,Greataxe,"This greataxe is a veritable mass of iron. Its weight sends foes flying, but makes it difficult to handle without inhuman strength. Any miss makes one very vulnerable, as each swing requires the full force of the body."
1059,Demon's Greataxe,"Carved from the bones of fellow demons. Wielded by the lesser Taurus demons. This axe is imbued with no special power, but can merrily beat foes to a pulp, providing you have the strength to wield it."
1060,Dragon King Greataxe,"This axe, one of the rare dragon weapons, is formed by the tail of the Gaping Dragon, a distant, deformed descendant of the everlasting dragons. The axe is imbued with a mystical power, to be released when held with both hands."
1061,Black Knight Greataxe,Greataxe of the black knights who wander Lordran. Used to face chaos demons. The large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago.
1062,Club,"A simple wooden club. This simple bladeless strike weapon is effective against most foes, is easily handled, and can break the guard of a shield. However, a single miss makes one wide open, so timing and proximities are crucial."
1063,Mace,"Iron hammer with a protrusive pommel. Standard weapon for clerics. This simple bladeless strike weapon is effective against most foes, and can break the guard of a shield. However, one miss leaves one wide open."
1064,Morning Star,"Hammer with a sharp spike on its pommel. One of the more barbaric cleric weapons. Uniquely, this hammer inflicts thrust damage, and causes bleeding."
1065,Warpick,"Hammer with a large beak-shaped pommel. Originally a pickaxe; redesigned for battle. This simple but deadly weapon hits heavily with thrust damage, such that it easily cracks metal armor."
1066,Pickaxe,"Traditionally a mining tool, but the hard cone on the pommel is effective in battle. A downward swing of the Pickaxe can crush stone; a human head would be an afterthought."
1067,Reinforced Club,"A club with leather nailed to the pommel. The burg Undead merchant proudly peddles this club, but its reinforcement is shoddy. Indeed, its attack is stronger, but the club is no longer dependably sturdy."
1068,Blacksmith Hammer,"Metal hammer of Andre of Astora, blacksmith at the Old Church. Can be used as a strike weapon, but better left in the hands of its talented owner."
1069,Blacksmith Giant Hammer,"Wooden hammer of the giant blacksmith in Anor Londo who handles lightning weapons. The giant blacksmith forges with this wooden hammer, as it would be hazardous to handle lightning weapons with metals."
1070,Hammer of Vamos,"Metal hammer of Vamos, a skeleton blacksmith deep within the Catacombs who rarely speaks. Can be used as a strike weapon, but better left in the hands of its talented owner."
1071,Great Club,"Giant tree branch serves as a wooden club. Smashes enemies from upside the head. The leaping attack is a trademark of clubs, and this giant club is no exception."
1072,Grant,"A legendary weapon of the Way of White, granted to an Undead paladin long ago. This mass of iron can only be lifted by those with inhuman strength, but it is blessed, and very effective against agents of Dark."
1073,Demon's Great Hammer,"Demon weapon built from the stone archtrees. Used by lesser demons at North Undead Asylum. This hammer is imbued with no special power, but can merrily beat foes to a pulp, providing you have the strength to wield it."
1074,Dragon Tooth,"Created from an everlasting dragon tooth. Legendary great hammer of Havel the Rock. The dragon tooth will never break as it is harder than stone, and it grants its wielder resistance to magic and flame."
1075,Large Club,"Large wooden club. The giant Undead of Blighttown wield these clubs, which became poisonous from the influence of their surroundings."
1076,Smough's Hammer,"Great hammer from the soul of executioner Smough, who guards the cathedral in the forsaken city of Anor Londo. Smough loved his work, and ground the bones of his victims into his own feed, ruining his hopes of being ranked with the Four Knights."
1077,Caestus,"The weapon augments one's bare hands with thick, studded leather. The Caestus has a short reach, but quick cool down. Amount of damage inflicted is dependent on its wearer's strength."
1078,Claw,"A weapon formed by three sharp claws. Attacks cause bleeding, and the wounds inflicted are not easily mended. Preferred weapon of the spooks of an Eastern land."
1079,Dragon Bone Fist,"A weapon from the soul of the Iron Golem, guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo. The Gods fused the power of the soul with the great bones of the dragons, forming an appropriate core for the giant golem."
1080,Dark Hand,"The Darkwraiths, incited by Kaathe, use the power of the dark soul to absorb humanity, an art shared by this weapon, which also acts as a special shield. The ancients, particularly, could sap the humanity of even a replete saint in the blink of an eye."
1081,Spear,"Standard spear used commonly by soldiers. Long reach, and can be used with shield up. Effective against hard exteriors, and can hit for high damage at the right moment of an enemy's swing. But the hit radius is small, and it is easily blocked by shields."
1082,Winged Spear,"A long-hilted spear with a barbed point. Long reach, and can be used with shield up. Effective against hard exteriors, and hits for high damage at the right moment of an enemy's swing. But the hit radius is small, and it is easily blocked by shields."
1083,Partizan,"Spear with blade attached to broad point. Boasts long reach, and can slice. The wide range of this spear makes it adaptable to many situations. Its strength lies in its length, but in cramped quarters, this backfires, and slices ricochet off walls."
1084,Demon's Spear,"Carved from the bones of fellow demons. Wielded by the slim lesser Batwing demons. The weapon of these chaos demons wandering Anor Londo are different from those of other chaos demons, and are imbued with lightning."
1085,Channeler's Trident,"Trident of the Six-eyed Channelers, sorcerers who serve Seath the Scaleless in collecting human specimens. Thrusted in circular motions in a unique martial arts dance that stirs nearby allies into a bloodthirsty frenzy."
1086,Silver Knight Spear,"The silver knights of Anor Londo guard the city using this beautifully slender weapon. The spear can be wielded by both hands in a focused thrust that uses one's body weight, or swung in a large sweeping motion."
1087,Pike,"Long spear with a very long red hilt. Traditionally used by groups of soldiers. Specially designed for distance thrusting. Has the longest range of the non-projectile weapons, but its very length makes it somewhat difficult to handle."
1088,Dragonslayer Spear,"Cross spear born from the soul of Ornstein, a Dragonslayer guarding Anor Londo cathedral. Inflicts lightning damage; effective against dragons. Two-handed thrust relies on cross and buries spear deep within a dragon's hide, and sends human foes flying."
1089,Moonlight Butterfly Horn,"Weapon born from the mystical creature of the Darkroot Garden, the Moonlight Butterfly. The horns of the butterfly, a being created by Seath, are imbued with a pure magic power."
1090,Halberd,"Long-hilted weapon mixing spear and axe is difficult to handle, requiring both strength and dexterity. The Halberd has two elementary attacks: spear-like thrusting and large sweeping swings. However, one false swing and the wielder is left wide open."
1091,Giant's Halberd,"Large halberd made of old brass, used by the giant sentinels of Anor Londo. Brass contains traces of lightning, but as the halberd is designed for the giant sentinels, its weight is unbearable."
1092,Titanite Catch Pole,"Weapon of the titanite demon, a faceless stone monster born from titanite slab. One of the enchanted weapons, perhaps from residual power of the titanite slab. Known for its leaping attack which comes smashing down on foes from above."
1093,Gargoyle's Halberd,Halberd of the gargoyle guarding the Bell of Awakening in the Undead Church. Perfectly standard bronze halberd without any special power.
1094,Black Knight Halberd,Halberd of the black knights who wander Lordran. Used to face chaos demons. The large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago.
1095,Lucerne,"Halberd with a large, hard beak-like protrusion. Inflicts thrust damage. Instead of thrusting like a spear, the wielder of the Lucerne aims to club the head with its hard beak."
1096,Scythe,"Halberd with a large blade. Scythe adjusted for battle. Designed especially for slicing. However, one false swing leaves one wide open."
1097,Great Scythe,Weapon with a long curved blade. Converted from a wheat-harvesting tool. The magnificent sharp curved blade instills fear in opponents. Perhaps it is their survival instinct at work.
1098,Lifehunt Scythe,"Scythe born from the soul of Priscilla, the stark white crossbreed trapped inside the Painted World of Ariamis. Even the Gods feared Priscilla's lifehunt ability, and in the hands of a mortal, its power will turn upon its wielder."
1099,Short Bow,Small bow. Standard projectile weapon. Equip arrows to use. Hold bow to aim. Aim for heads of humanoid foes. May change type of arrows.
1100,Longbow,Large bow. Projectile weapon for experienced hunters. Equip arrows to use. Hold bow to aim. Aim for heads of humanoid foes. May change type of arrows.
1101,Black Bow of Pharis,"The preferred black bow of the heroic archer Pharis. Has a longer range than standard bows, but is more difficult to use. Without proper abilities, results will be underwhelming."
1102,Dragonslayer Greatbow,"Bow of the Dragonslayers, led by Hawkeye Gough, one of Gwyn's Four Knights. This bow's unusual size requires that it be anchored to the ground when fired. Only uses specialized great arrows."
1103,Composite Bow,"Composite bow emphasizing power. Requires more strength than standard bows. However, its range is shorter, making it unfit for sniping."
1104,Darkmoon Bow,"Bow born from the soul of the Dark Sun Gwyndolin, Darkmoon deity who watches over the abandoned city of Gods, Anor Londo. This golden bow is imbued with powerful magic and is most impressive with Moonlight Arrows."
1105,Light Crossbow,"Standard crossbow issued to soldiers. While bows require both hands, a crossbow is held in one, but arming each bolt takes time. Equip bolts to use. May change type of bolt."
1106,Heavy Crossbow,"Powerful large crossbow. While bows require both hands, a crossbow is held in one, but arming each bolt takes time. Equip bolts to use. May change type of bolt."
1107,Avelyn,"Repeating crossbow cherished by the weapon craftsman Eidas. Its elaborate design makes it closer to a work of art than a weapon. Intricate mechanism makes heavy damage possible through triple-shot firing of bolts, but in fact each bolt inflicts less damage."
1108,Sniper Crossbow,"Large crossbow with long distance used by Carim snipers. Often used with sniper bolts. But while crossbows are normally easy to use, the Sniper Crossbow requires dexterity."
1109,Sorcerer's Catalyst,Sorcery catalyst used by sorcerers of Vinheim Dragon School. Equip catalyst to use sorceries. Attune sorceries from a scroll at a bonfire. Most sorceries have limited no. of uses.
1110,Beatrice's Catalyst,"Catalyst belonging to Beatrice, the rogue witch. Contrasts with Vinheim catalysts. This ancient catalyst shows signs of being used for age-old sorceries. It has passed the hands of many generations to get here."
1111,Tin Banishment Catalyst,"Catalyst of the banishment sorcerers who flooded New Londo to seal off away the Darkwraiths and the Kings who fell to Dark. In contrast to other catalysts, the metal catalyst qualifies as a weapon, as it inflicts physical damage, however small."
1112,Logan's Catalyst,"Catalyst of Big Hat Logan, the great sorcerer and seeker of knowledge. Originally the same catalyst employed by the Vinheim sorcerers, only terribly strengthened over time due to Logan's use. Very powerful when used by one of superior intelligence."
1113,Tin Darkmoon Catalyst,"Catalyst born from the soul of the Dark Sun Gwyndolin, Darkmoon deity who watches over the abandoned city of Gods, Anor Londo. Gwyndolin is Gwyn's lastborn and a legitimate god, but he is also a Moon sorcerer, and this wand is boosted by faith, not intelligence."
1114,Oolacile Ivory Catalyst,"Sorcery catalyst of lost land of Oolacile. Formed by enchanted whitebark branches. The whitebark boosts sorcery adjustment, but the sorceries of this lost land are gentle and not affected by intelligence."
1115,Tin Crystallization Ctlyst.,"Catalyst imbued in terrifying crystal magic. Used by Logan after his fixation on Seath. Makes all sorceries incredibly powerful, but demands extremely high intelligence from its wielder, and halves sorcery usages."
1116,Demon's Catalyst,"Demon catalyst formed from Izalith molten rock. Can be used as fire weapon. The Demon Firesage was the first demon, and the last master of the original fire arts, before the Witch of Izalith was engulfed by Chaos, creating pyromancy."
1117,Izalith Catalyst,"Catalyst of the Witch of Izalith of long ago, when her daughters were still flame witches, before they were engulfed by the Chaos Flame. Before the birth of pyromancy, their wands were mediums for sorcery, but knowledge of this flame sorcery has long since vanished."
1118,Pyromancy Flame,Flame medium used by Great Swamp pyromancers. Pyromancers arouse this flame to produce various fire arts. Equip pyromancer flame to produce pyromancy. Attune pyromancies from a scroll at bonfire. Most pyromancies have limited no. of uses.
1119,Pyromancy Flame,"Pyromancy flame drawing upon the latent power of Quelana of Izalith, mother of pyromancy. For the pyromancer, a flame is a precious thing indeed, to be nurtured, often for an entire lifetime. When the flame is shared, it creates an eternal bond between the parties."
1120,Talisman,Medium for casting miracles of the Gods. Standard talisman issued to common believers. Equip talisman to cast miracles.  Attune miracles from a scroll at a bonfire. Most miracles have limited no. of uses.
1121,Canvas Talisman,Medium for casting miracles of the Gods. Canvas Talisman is for clerics on pilgrimage. Equip talisman to cast miracles.  Attune miracles from a scroll at a bonfire. Most miracles have limited no. of uses.
1122,Thorolund Talisman,"Medium for casting miracles of the Gods. This talisman is only granted to high- ranking Thorolund clerics. Has high miracle adjustment which, thanks to divine protection, is not dependent upon faith."
1123,Ivory Talisman,"Medium for casting miracles of the Gods. Ivory Talismans are granted only to female clerics, and their value is affected dramatically by their owner's faith."
1124,Sunlight Talisman,"Medium for casting miracles of the Gods. The talisman of Solaire of Astora, the Knight of Sunlight, is decorated with a holy symbol, illustrated by Solaire himself. This talisman is a projection of Solaire's upstanding, unwavering faith."
1125,Darkmoon Talisman,"Medium for casting miracles of the Gods. Granted to Darkmoon Blade knights, adherents to the Covenant of the Dark Sun Gwyndolin. This talisman demands dutiful faith from its owner, but has very high miracle adjustment."
1126,Velka's Talisman,"Medium for casting miracles of the Gods. This black tuft of hair that serves as a talisman belongs to Velka, Goddess of Sin. It casts miracles not by drawing upon faith, but intelligence."
1127,Skull Lantern,"Skull Lantern of the Catacombs necromancer. Droops from his long beard locks. This lantern alights the Tomb of the Giants, Nito's light-devouring domain of death. Also serves as a fire damage strike weapon."
1128,East-West Shield,"Wooden shield. Decorated with the ancient symbol of a double-headed eagle, painted yellow. Wood shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability."
1129,Wooden Shield,"Vertically elongated wooden shield. Decorated with a white dragon. Wood shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability."
1130,Large Leather Shield,"Large, leather-covered round shield. Choice shield for hunters. Wood shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability."
1131,Small Leather Shield,"Small, leather-covered round shield, reinforced in critical spots with metal. Small shields are always less stable, but landing critical hits after parry is easier."
1132,Target Shield,"Small round metal shield. Four protrusions used to parry attacks. Small shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying."
1133,Buckler,"Very small round metal shield. Parry attacks with large center protrusion. Small shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying."
1134,Cracked Round Shield,"Round wooden shield. Cracked and nearly broken. Wood shields are lighter than metal shields, but this one has lower physical damage reduction stability, partly due to cracking."
1135,Leather Shield,"Round leather-covered shield. A standard, widely-used shield. Small shields are always less stable, but landing critical hits after parry is easier."
1136,Plank Shield,"Makeshift shield built from wood planks. Provides minimal protection, but at a cost of moderate humiliation."
1137,Caduceus Round Shield,"Round wooden shield crafted in Lordran. Decorated by an ancient blue Caduceus. The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood greatly reduces magic damage."
1138,Crystal Ring Shield,"Weapon born from the mystical creature of the Darkroot Garden, the Moonlight Butterfly. Imbued with a powerful crystal power, like the butterfly created by Seath the Scaleless. Can emit crystal light rings."
1139,Heater Shield,"Small metal shield. A standard, widely-used shield. This shield is easy to use, and is one of the smallest shields that offers 100% physical damage reduction."
1140,Knight Shield,"This medium metal shield is elegantly carved and painted. Although it is thought to have been used by ancient knights of the nobility, its defense capabilities are similar to other shields."
1141,Tower Kite Shield,"Medium metal shield. Decorated with a tower, the symbol of protection. A standard, widely-used shield."
1142,Grass Crest Shield,"Old medium metal shield of unknown origin. The grass crest is lightly imbued with magic, which slightly speeds stamina recovery."
1143,Hollow Soldier Shield,"Metal shield wielded by Hollow soldiers. Heavily rusted but sturdy, providing a strong defense."
1144,Balder Shield,"Shield of the knights of the ancient kingdom of Balder. Tweaked for improved stability. Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead."
1145,Crest Shield,"Shield of a nameless knight, likely a high-ranked knight of Astora. One of the enchanted blue shields. The Crest Shield greatly reduces magic damage."
1146,Dragon Crest Shield,"Shield of a nameless knight, likely a high-ranked knight of Astora. One of the enchanted blue shields. The Dragon Crest Shield greatly reduces fire damage."
1147,Warrior's Round Shield,"Round wooden shield crafted in Lordran. Decorated with the ancient Labrys axe. The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties,  and the wood reduces magic damage."
1148,Iron Round Shield,"Thick iron shield of Shiva of the East. Heaviest of the standard shields. Deflects enemy attacks. A famous specimen from Shiva's collection, but none who have faced it have lived to tell the tale."
1149,Spider Shield,Shield of the savage mountain bandits. Uniquely-shaped with a large black spider etched upon it. Has resistance to poison.
1150,Spiked Shield,"Shield of the infamous Darkwraith Kirk, Knight of Thorns. Covered with spikes. Can be used as a weapon. Sharp spikes cause heavy bleeding."
1151,Crystal Shield,"A fully crystallized straight shield. How such a weapon was created is entirely unknown. The crystallization boosts its defense, but makes the shield brittle. The shield cannot be used for long, as it cannot be repaired."
1152,Sunlight Shield,"Shield of Solaire of Astora, Knight of Sunlight. Decorated with a holy symbol, but Solaire illustrated it himself, and it has no divine powers of its own. As it turns out, Solaire's incredible prowess is a product of his own training, and nothing more."
1153,Silver Knight Shield,"Shield of the Silver Knights of Anor Londo. A flowing canal is carved deep into its face. The Silver Knights stayed behind in Anor Londo to defend the illusory goddess, and their shields are blessed with her divine protection."
1154,Black Knight Shield,"Shield of the Black Knights that wander Lordan. A flowing canal is chiseled deeply into its face.  Long ago, the black knights faced the chaos demons, and were charred black, but their shields became highly resistant to fire."
1155,Pierce Shield,"Shield of certain knights of Catarina, used in attacks with a large protrusion in center. Can be used as a thrust weapon."
1156,Red and White Round Shield,"Round wooden shield crafted in Lordran featuring an impressive red and white design. The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood greatly reduces magic damage."
1157,Caduceus Kite Shield,"Medium metal shield. Decorated by an ancient blue Caduceus. A standard, widely-used shield."
1158,Gargoyle's Shield,"Bronze shield of the gargoyle guarding the Bell of Awakening in the Undead Church. The gargoyle's skin is tough by itself, and perhaps its shield may have been a prop, for it is a rare example of a metal shield that does not reduce physical damage 100%."
1159,Eagle Shield,"Greatshield with an eagle design. Lightest and easiest greatshield to handle. Greatshields are very stable, and deflect attacks. But one cannot parry, and instead bashes with the shield."
1160,Tower Shield,"Metal greatshield. Used by Knight Berenike, known for his heavy armor. This thick plate of iron is heavily defensive but ultra heavy. Greatshields are very stable, and deflect attacks. However, one cannot parry, and instead bashes with the shield."
1161,Giant Shield,"Greatshield made of bronze and marcasite. Used by giant sentinels of Anor Londo. Marcasite, or white iron, is effective against non-physical damage, but as the shield is designed for the giant sentinels, its weight is unbearable."
1162,Stone Greatshield,"Mossy round greatshield used by the guardian of the Darkroot Garden, the Stone Knight. The Stone Knight is a creation of ancient magic, and this shield is imbued with the same power, but is also extremely heavy."
1163,Havel's Greatshield,"Greatshield of the legendary Havel the Rock. Cut straight from a great slab of stone. This greatshield is imbued with the magic of Havel, provides strong defense, and is incredibly heavy. A true divine heirloom on par with the Dragon Tooth."
1164,Bonewheel Shield,"Giant wooden wheel encircled by spikes. Half-melded to a strange skeleton. Can be used as a greatshield, only for the great gaps. But at least the spikes turn into weapons with a good spin. Strange indeed!"
1165,Greatshield of Artorias,"Shield born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias. Boasts consistent defense and divine protection against various status effects."
1166,Whip,"Leather whip. Not intended for battle. Virtually ineffective against armor and tough scales, but quite formidable against enemies with exposed skin."
