id,NPC,Action,Dialog
40021,Crestfallen,Talk-1st time after saving Rhea from the Tomb of the Giants,"Did you hear about the maiden? The virtuous lass came back alone, and in absolute tatters... Did her followers die, or was she abandoned? Who knows. But I suppose we've heard the last from ""M'lady"". Hah hah hah hah!"
40022,Crestfallen,Talk-2nd time after saving Rhea from the Tomb of the Giants,That maiden? She's shuffled off somewhere. I believe to the Undead Church. These ruins were probably too awkward for her.
40023,Crestfallen,Talk-Before saving Logan from Sen's Fortress,"Oi, did you see him? Big Hat Logan, the legendary sorcerer, in the flesh! ...This place is simply mad... Legendary heroes popping up left and right... They're making me feel quite inadequate, to be honest! Hah hah hah hah..."
40024,Crestfallen,Talk-While Cursed,"Oi, hold on...Don't tell me, have you been cursed? Oh woe is the Undead who's cursed on top of it all! Harsh times; harsh times, indeed! Hah hah hah hah! Hah hah hah hah! No, no, I'm sorry. Here, let me share a nice tip. Long ago, I was told of a remedician who resides in New Londo. Does he really exist? Well, go and find out for yourself. But don't blame me if he's just an apparition! Hah hah hah hah!"
40025,Crestfallen,Talk-1st time after ringing 1st Bell of Awakening,"Why, what a surprise. I didn't expect you to make it. ...Oh, somebody rang the bell...Wait. Was it you? You never give up, do you? I don't know how you do it. Well, don't stop now. Only one more, but it's going to be suicide. Only one more now, if you have the heart for it. Hah hah hah hah..."
40026,Crestfallen,Talk-2nd time after ringing 1st Bell of Awakening,What's wrong? Get a bit of a scare out there? No problem. Have a seat and get comfortable. We'll both be Hollow before you know it. Hah hah hah hah...
40027,Crestfallen,Talk-3rd time after ringing 1st Bell of Awakening,"Well, what are you going to do? I've already decided. I don't really care; I'm simply crestfallen..."
40028,Crestfallen,Talk-1st time after ringing both Bells of Awakening,"Did you ring the second bell? That is incredible, I must say...But now we have a new problem. It's noisy, it snores, and its breath is lethal... This is no laughing matter, I tell you."
40029,Crestfallen,Talk-2nd time after ringing both Bells of Awakening,"Damn, that stench...And I was really beginning to like it here! Sigh... Maybe it's time I do something about it..."
40030,Crestfallen,Talk-3rd time after ringing both Bells of Awakening,Sigh... Maybe it's time I do something about it...
40031,Crestfallen,Upon being attacked-1st time,Ooph!
40032,Crestfallen,Upon being attacked-2nd time,Oww!
40033,Crestfallen,Upon being attacked-3rd time,What in the...!
40034,Crestfallen,Upon being attacked-4th time,Stop that! Oi!
40035,Crestfallen,Upon being attacked & made hostile,"Lousy rat! You have some nerve! I may be crestfallen, but I'm not defenceless, you rascal! You will soon regret this!"
40036,Crestfallen,Upon killing the protagonist,"Now, that's just embarrassing. How'd you let me do that to you?"
40037,Crestfallen,Upon dying,"Heheh, not too shabby... I think you've done me a favour..."
50001,Darkmoon,Talk-1st time,"Well, you are a rare visitor. Welcome to the lost city of Anor Londo, chosen Undead. If you seek Lord Gwyn's old keep, exit here and head straight yonder. If you are the chosen one, a revelation shall visit thee. ...What follows thereafter, depends upon you..."
50002,Darkmoon,Talk-2nd time,"Hmm. You have survived. Impressive. If you require rest, now is the time. That is, after all, what the bonfire is for."
50003,Darkmoon,Talk-1rd time after leaving & returning to Anor Londo,"Hmm. You have made it back. Very well. Go ahead, you may rest here. Even an Undead requires repose."
50004,Darkmoon,Talk-2rd time after leaving & returning to Anor Londo,"Hmm. You have made it back. You were gone so long. Go ahead, you may rest here. Even an Undead requires repose."
50005,Darkmoon,"Menu-Choose ""Talk"" 1st time","Hm, what is it? What am I? Well...I am the Keeper of the bonfire. If not for me, what beacon would there be in this lost city? A gatekeeper, and a guide; that is my calling."
50006,Darkmoon,"Menu-Choose ""Talk"" 2nd time","The bonfires attended by the Keepers are special. They are linked to one another, and their flames never die. Yet never shall the Keepers of these flames meet."
50007,Darkmoon,Talk-1st time after receiving the Lordvessel,"Hmm. So, you have received a revelation? Very auspicious. I hope for the best. I pray that through you, Her wish will be granted."
50008,Darkmoon,Talk-2nd time after receiving the Lordvessel,"Have you heard of Seath the Scaleless? In legend, he turned against the ancient dragons. He became Lord Gwyn's confidant, was granted dukedom, and was allowed to pursue his research. At the Regal Archives, he immersed himself in research on scales of immortality, the one thing that he did not have. ...But his very research drove him mad... The Archives became a dungeon, a place for sinister experiments. Now, nobody dares even approach the duke's forbidden Archives. It looms over this land, high atop the mountain. But I should warn against even an approach..."
50009,Darkmoon,Talk-After obtaining all Lord Souls & Bequeathed Lord Soul Shards,"Will you be departing soon, honourable heir to Gwyn's Flame... We are humbled... For we exist only with your blessing."
50010,Darkmoon,"Talk-After joining the ""Blade of Darkmoon"" Covenant","Oh...You are one of us. That is a surprise. But a pleasant one. We are both Blades of the Darkmoon, now. I shall look forward to fighting alongside you."
50011,Darkmoon,Upon being attacked-1st time,What!
50012,Darkmoon,Upon being attacked-2nd time,How dare you!
50013,Darkmoon,Upon being attacked-3rd time,Hrk!
50014,Darkmoon,Upon being attacked-4th time,Rrgh!
50015,Darkmoon,Upon being attacked & made hostile,Very well. So be it. Expunging fools like you is part of my charge.
50016,Darkmoon,Meeting in hostile state after killing the illusion of Gwynevere,"So...It was you, was it? How dare you produce a blade upon a deity? How did you ever get this far? I shall end your suffering here and now. It is the least that I can do."
50017,Darkmoon,Upon killing the protagonist,Tis a pity...To think I saw potential in you...
50018,Darkmoon,Upon killing the protagonist after killing the illusion of Gwynevere,What you saw under light of the Darkmoon shall haunt you forever.
50019,Darkmoon,Upon dying,"...But, how... ...This man is a threat... ...This woman is a threat... ...Master Gwyndolin..."
60001,Domhnall,Talk-1st time,"Aye, siwmae. And good day to you. I'm Domhnall of Zena. I'm just, well, a peddler, of sorts. I adore trinkets and oddities, so I trade for them."
60002,Domhnall,Talk-2nd time,"Aye, siwmae. I adore trinkets and oddities, so I trade for them."
60003,Domhnall,Talk-After leaving & returning to the Depth,"Aye, siwmae. We meet again."
60004,Domhnall,Talk-1st time,"Aye, siwmae. I didn't expect to meet anybody here. I suppose great minds think alike, eh? Heh heh."
60005,Domhnall,Talk-After leaving & returning to the Firelink Shrine,"Aye, siwmae. Never thought I'd see you here. This feels karmaic. Pray tell, what do you have for me?"
60006,Domhnall,"Menu-Choose ""Talk"" without purchasing something",Hmm... I'm afraid I don't see anything here.
60007,Domhnall,"Menu-Choose ""Talk"" 1st time after purchasing something","Hmm... Well, I'm certain we will make a good trade eventually... So, I am willing to share some tips. If you seek Kindling in the Catacombs, use divine weapons. That will repel the reassembling skeletons."
60008,Domhnall,"Menu-Choose ""Talk"" 2nd time after purchasing something","Hmm... Well, I'm certain we will make a good trade eventually... So, I am willing to share some tips. The cursed Ghosts of New Londo are formidable foes. To face them, you will require special arms...Or a cursed body. The quickest way to be cursed?  Try the bug-eyed lizards in the sewer. Desperate measures, to be sure..."
60009,Domhnall,"Menu-Choose ""Talk"" 3rd time after purchasing something","Hmm... You are a fine trading partner. Rumour it may be, but I have heard of a surviving ancient dragon who resides in this land. A coterie of Undead serves the dragon, as they train to become dragons themselves. Sounds unlikely, but you never know, do you?"
60010,Domhnall,"Menu-Choose ""Leave"" without purchasing something","Well, that is a shame, then. But no matter. No, not to worry. Come back again. I'm always available. Not every trade was meant to be. There'll be more in store for us, someday, sometime!"
60011,Domhnall,"Menu-Choose ""Leave"" after purchasing something","Thank you. That was a fine trade. I have this funny feeling we'll meet again soon. And we'll make another fine trade, of course!"
60012,Domhnall,Upon being attacked-1st time,"Hold on, there!"
60013,Domhnall,Upon being attacked-2nd time,What's this about?
60014,Domhnall,Upon being attacked-3rd time,"Now, stop that!"
60015,Domhnall,Upon being attacked-4th time,Ouch!
60016,Domhnall,Upon being attacked-5th time,Oww!
60017,Domhnall,Upon being attacked & made hostile,"What problem do you have now? I'm a man of peace, idiot! Enough of you, I say, farewell."
60018,Domhnall,Upon dying,By the Lords...why... My precious collection...
70001,Dusk,Talk-1st time,"So, it is thou who rescueth me? Most gracious. I am deeply obliged. I am Dusk of Oolacile. I cometh from an age long before thine... I can not stay here for long. So, before I disappear, allow me to ask one thing. My home, Oolacile, is the home of ancient sorceries. My hope is to pass this profound knowledge to thee, with thine approval. Would this be of assistance to thee?"
70002,Dusk,"Choose ""No"" to the query","Yes, of course...I understand well. Pray forgive me. I have overstepped my boundaries. Farewell; another age, another land, beckons me to return. May the flames guide thee."
70003,Dusk,"Choose ""Yes"" to the query","My heartfelt thanks. I am pleased beyond words. Then, I shalt engrave my signature. If thou art in need, pray summon me from my signature. It seems that my time is done. May the great flames guide thee."
70004,Dusk,Talk-After summoning,I am Dusk of Oolacile. It is an honour to see thee again. I shall follow thine wishes.
70005,Dusk,"Menu-Choose ""Talk"" 1st time","For a very long time, I was trapped within the Crystal Golem. From my home I was taken, and banish'd to a plane of distortion. It was there, that thou came to my rescue. Long after I had relinquished all hope. So gleeful was I, my faith reneweth."
70006,Dusk,"Menu-Choose ""Talk"" 2nd time","The sorceries of Oolacile differ from the magic of thine age. It is difficult to explain... Oolacile sorceries are, what doth one say? They are somewhat... of an approximation. Thine sorceries are more straight forward, negating all but thy self. Dost thou not find some fascination in these discrepancies?"
70007,Dusk,"Menu-Choose ""Talk"" 3rd time after resting at a Bonfire","My home of Oolacile was reduced to ashes, long ago, in my time. I have been alone ever since... But to be summon'd thus, and to be of service to thee... It is... most rewarding... Oh, forgive me, such a long-past time is none of thine concern..."
70008,Dusk,"Menu-Choose ""Talk"" 1st time after defeating Manus, Father of the Abyss","...This may strike thine ear as somewhat peculiar, but... Long ago, in my homeland of Oolacile, I was beset by a creature from the Abyss. I would have perished then, were it not for the great knight Artorias. In truth, I saw little of what transpired, for mine senses were already fled! But even still, there was something about Artorias... A certain balance of the humours... ...That quite perfectly fits your semblance. Heavens, could it be that... ... Oh, dear me. That was Oolacile, many centuries ago. Please excuse my fanciful musings."
70009,Dusk,"Menu-Choose ""Talk"" 2nd time after defeating Manus, Father of the Abyss","Excuse me for such whimsical utterances. Only, it was so very odd... You, and Artorias. I owe my life to each of you. And both seem to share some resonance of sorts... Perhaps it is the nature of true greatness."
70010,Dusk,"Menu-Choose ""Talk"" 3rd time after defeating Manus, Father of the Abyss","I still think on that creature from the Abyss that preyed upon me. My faculties were far from lucid, but I quite clearly sensed certain emotions. A wrenching nostalgia, a lost joy, an object of obsession, and a sincere hope to reclaim it... Could these thoughts belong to the beast from the Abyss? But if that were true, then perhaps it is no beast after all? Oh, please forgive my ramblings. It's just that, I wish to know the truth. And no one, not even loving Elizabeth, will tell me."
70011,Dusk,"Menu-Choose ""Leave"" without purchasing something","If thou art in need, pray summon me again. I wish to be of assistance... May the flames guide thee."
70012,Dusk,"Menu-Choose ""Leave"" after purchasing something","If thou art in need, pray summon me again. I only wish to be of some genuine assistance... May the flames guide thee."
70013,Dusk,After leaving abruptly,"Wait, where... are..."
70014,Dusk,Talk-After leaving abruptly,Thou hast return'd. Bless thee.
70015,Dusk,Upon being attacked-1st time,What dost thou...
70016,Dusk,Upon being attacked-2nd time,Whatever for...
70017,Dusk,Upon being attacked-3rd time,Cease this barbarism...
70018,Dusk,Upon dying,"Ahh... Farewell, my rescuer..."
70019,Dusk,"Talk-1st time after defeating Manus, Father of the Abyss",...Mmn...ahh...
70020,Dusk,"Talk-2nd time after defeating Manus, Father of the Abyss",...Aah...mmn... ...Hmm...mm...
70021,Dusk,Upon being attacked,Aah...
70022,Dusk,Upon dying,Eek!
80001,Eingyi,Talk-1st time,...Oh dear...What have we here? Are you a new servant?
80002,Eingyi,"Choose ""No"" to the query",Then you shall not pass. Away with you!
80003,Eingyi,"Talk-After choosing ""No"" to the query","The nerve of you! Be gone, be gone at once!"
80004,Eingyi,"Choose ""Yes"" to the query","...Hmph. But you have no eggs? Bah, no matter. Go along and have audience with Our Fair Lady. I pray that you will mind your manners!"
80005,Eingyi,"Talk-After choosing ""Yes"" to the query, before talking to Daughter of Chaos","What is it? Go along, and meet Our Fair Lady."
80006,Eingyi,Talk-2nd time,"Are you prepared to dedicate yourself to Our Fair Lady? Then I will make available whatever you require. If you need something, ask me first."
80007,Eingyi,Talk-3rd time,You again...
80008,Eingyi,Talk-4th time,"Are you in need already? Well, anything for the Fair Lady...What do you want?"
80009,Eingyi,Talk-With the Old Witch's Ring equipped,"...You, you speak the tongue of the Fair Lady? ... Well, do not be rash with your pride. You have yet to earn my trust. If you try anything funny with the Fair Lady, there will be hell to pay."
80010,Eingyi,"Menu-Choose ""Talk"" 1st time","There is no time for idle chat. Think only of Our Fair Lady, and what she may need."
80011,Eingyi,"Menu-Choose ""Talk"" 2nd time","...There is nothing to say to you... Except...If you lay a hand on the Fair Lady, you should be prepared to face my wrath."
80012,Eingyi,Talk-1st time after already having hatched an egg,"Well! ...Now...you're just like me... Your dedication is fully apparent. Only, well...Your head looks awful... Why not try this? I've no use for it any longer."
80013,Eingyi,Talk-2nd time after already having hatched an egg,"Oh, hello. What is it that you need?"
80014,Eingyi,"Menu-Choose ""Talk"" 1st time after hatching an egg & resting at a Bonfire","Below us lies the ruins of the legendary city of Izalith. There, the Molten Giant watches over the Flame of Chaos. Our Fair Lady, and Mistress Quelaag, fled from the ruins. I do not know the details...And I do not ask..."
80015,Eingyi,"Menu-Choose ""Talk"" 2nd time after hatching an egg & resting at a Bonfire","Have you heard of Lost Quelana? An inhuman witch, who wanders the Poison Swamp. Only no one has ever seen her, so who really knows? But what if she is another of the Quelaag sisters? Our Fair Lady would be greatly comforted by her presence."
80016,Eingyi,"Menu-Choose ""Talk"" after hatching an egg & talking to Daughter of Chaos","In all honesty, I am envious. What comfort can I offer, without speaking her tongue?"
80017,Eingyi,Talk-After talking to Daughter of Chaos hatched an egg & resting at a Bonfire,"Oh, hello...A pleasure to see you again. But don't neglect the Fair Lady. She needs some company."
80018,Eingyi,"Menu-Choose ""Talk"" 1st time after hatching an egg","Incidentally, do you have an interest in pyromancy? If you have, I shall share my flame with you."
80019,Eingyi,"Choose ""No"" to either the 2nd or 3rd query","...Well, fine. I will not force you."
80020,Eingyi,"Menu-Choose ""Talk"" after choosing ""No"" to either the 2nd or 3rd query","Have you developed an interest in pyromancy? If you have, I shall share my flame with you."
80021,Eingyi,"Choose ""Yes"" to either the 2nd or 3rd query","You have served our Fair Lady well. Now, let this strength be yours."
80022,Eingyi,"Menu-Choose ""Talk"" 2nd time after hatching an egg","Worse than Undead, we are diseased, and unwanted. Like the grime of the Great Swamp. But my dear, Fair Lady! She cried for me... And swallowed the great Blightpus, despite Mistress Quelaag's orders to the contrary."
80023,Eingyi,Talk-After hatching a parasitic egg for the 2nd time,"Well! That head of yours...Nothing seems to help, does it? I still have medicine. Go ahead and use it. Now, now, no need to fret about it. Things will be fine, one day..."
80024,Eingyi,Upon being attacked-1st time,Hrgkt!
80025,Eingyi,Upon being attacked-2nd time,Erggkt!
80026,Eingyi,Upon being attacked-3rd time,Oog!
80027,Eingyi,Upon being attacked-4th time,Hagkt!
80028,Eingyi,Upon being attacked & made hostile,I knew it! I knew it! You will not get away with this!
80029,Eingyi,Upon being attacked after the protagonist has hatched a parasitic egg,You...you would betray us?! I should have known!
80030,Eingyi,Upon dying,Hrg...rgggkt... My dear Fair Lady...You are in danger...
80031,Eingyi,Upon Killing the Fair Lady,"Why, youuuuu monster...! The Fair Lady! What have you done, what have you done! Hrggreeeeeeeeeeh!"
90001,Elizabeth,Talk-1st time,"Well, look at this one. From what far-away age hast thou come? Thy scent is very human, indeed. ...But, not intolerable... Ah, Princess Dusk's saviour. Thine aura is precisely as she described. I thank thee deeply, for rescuing Her Highness. But Princess Dusk is here no longer... ...snatched away by that horrifying primeval human. And so I must ask... Couldst thou once more play the saviour?"
90002,Elizabeth,"Talk-1st time, after talking with Dusk and exhausting her dialogue","Well, look at this one. From what far-away age hast thou come? Thy scent is very human, indeed. ...But, not intolerable... Princess Dusk has spoken of thee. Thy aura is precisely as she described. I thank thee deeply, for rescuing Her Highness. But Princess Dusk is here no longer... ...snatched away by that horrifying primeval human. And so I must ask... Couldst thou once more play the saviour?"
90003,Elizabeth,"Choose ""No"" to the 1st query","Yes, I understand. We care dearly for Princess Dusk, and are apt to blur our boundaries. I am ashamed to have been so imposing. But should thine heart be changed, speak to me again. This sanctuary, and the sorceries of Oolacile, are my domain. My strength could surely assist thee in thy travels."
90004,Elizabeth,"Talk-2nd time after choosing ""No"" to the 1st query",Hast thou reconsidered? Such that thou might rescue dear Dusk?
90005,Elizabeth,"Choose ""No"" to the 2st query","Yes, yes, of course. But shouldst thine heart be changed, speak to me again."
90006,Elizabeth,"Choose ""Yes"" to the 1st query","Thank you. I am Elizabeth, guardian of this sanctuary. Something of a godmother to Princess Dusk. I shall assist thee, to my utmost. For I am one with the sorceries of Oolacile."
90007,Elizabeth,Talk-After accepting the 1st or 2nd query,Thank goodness thou art safe. What is thy wish? I offer thee my all.
90008,Elizabeth,Talk-After accepting the 1st or 2nd query while the protagonist is hollow,"Struggling, are we? If there is anything I can do, never hesitate to ask."
90009,Elizabeth,"Menu-Choose ""Talk"" 1st time","Thou shalt see further on. An abyss was begat of the ancient beast, and threatens to swallow the whole of Oolacile. Knight Artorias came to stop this, but such a hero has nary a murmur of Dark. Without doubt, he will be swallowed by the Abyss, overcome by its utter blackness. ...Indeed, the Abyss may be unstoppable... Still I have faith, that Princess Dusk  may be rescued yet..."
90010,Elizabeth,"Menu-Choose ""Talk"" 1st time after resting at a Bonfire","Thou art from a time far, far ahead. There are many things I wish to ask. ...But I know that I must not. The perils of our time are overwhelming enough."
90011,Elizabeth,"Menu-Choose ""Talk"" 2nd time after resting at a Bonfire","Hah hah...Was thine eye, glancing hither? Thou needst not hide thy wonder. I am a mushroom, after all. Hee hee hee..."
90012,Elizabeth,"Menu-Choose ""Talk"" 3rd time after resting at a Bonfire","Not long ago, I had another visitor. A human like thineself, from a far-away time. Only, he was dreadfully odious... And I am afraid that he is still amongst us. He wore a hat and a long black coat..."
